,Correct,Opposite,Other
2,100.0,0.0,0.0
3,100.0,0.0,0.0
4,75.0,25.0,0.0
5,81.25,18.75,0.0
6,75.0,0.0,25.0
7,100.0,0.0,0.0
8,100.0,0.0,0.0
9,50.62626262626263,49.37373737373737,0.0
10,100.0,0.0,0.0
11,99.26227916909338,0.49019607843137253,0.24752475247525751
12,99.75247524752476,0.0,0.2475247524752433
13,100.0,0.0,0.0
14,100.0,0.0,0.0
15,100.0,0.0,0.0
17,100.0,0.0,0.0
18,99.50980392156862,0.0,0.49019607843138147
19,57.5,0.0,42.5
22,65.0,35.0,0.0
23,62.5,0.0,37.5
24,38.68509697218652,41.17751895916478,20.1373840686487
25,100.0,0.0,0.0
26,100.0,0.0,0.0
27,50.0,25.0,25.0
28,100.0,0.0,0.0
29,70.0,30.0,0.0
30,29.166666666666664,8.333333333333332,62.5
31,100.0,0.0,0.0
32,100.0,0.0,0.0
33,62.5,12.5,25.0
34,97.25,2.75,0.0
35,100.0,0.0,0.0
36,85.0,15.0,0.0
37,100.0,0.0,0.0
38,100.0,0.0,0.0
39,50.0,50.0,0.0
40,37.375,42.5,20.125
41,32.5,20.0,47.5
42,90.0,10.0,0.0
43,50.0,50.0,0.0
44,100.0,0.0,0.0
