,wedding_num,vid_str,onset_TR,len_TRs,offset_TR
0,0,vid1a_q,9,17,26
1,0,vid1b_q,26,6,32
2,0,vid2_q,32,11,43
3,0,vid3_q,46,15,61
4,0,vid4_q,64,16,80
5,0,vid5_q,80,7,87
6,1,vid1a,108,17,125
7,1,vid1b,125,6,131
8,1,vid2,131,11,142
9,1,vid3,142,15,157
10,1,vid4,157,16,173
11,1,vid5,173,7,180
12,2,vid1a,204,17,221
13,2,vid1b,221,6,227
14,2,vid2,227,11,238
15,2,vid3,238,15,253
16,2,vid4,253,16,269
17,2,vid5,269,7,276
18,3,vid1a,300,17,317
19,3,vid1b,316,6,322
20,3,vid2,322,11,333
21,3,vid3,334,15,349
22,3,vid4,349,16,365
23,3,vid5,365,7,372
24,4,vid1a,395,17,412
25,4,vid1b,412,6,418
26,4,vid2,418,11,429
27,4,vid3,430,15,445
28,4,vid4,445,16,461
29,4,vid5,461,7,468
30,5,vid1a,492,17,509
31,5,vid1b,508,6,514
32,5,vid2,514,11,525
33,5,vid3,526,15,541
34,5,vid4,541,16,557
35,5,vid5,557,7,564
36,6,vid1a,588,17,605
37,6,vid1b,605,6,611
38,6,vid2,611,11,622
39,6,vid3,622,15,637
40,6,vid4,637,16,653
41,6,vid5,653,7,660
42,7,vid1a,684,17,701
43,7,vid1b,701,6,707
44,7,vid2,707,11,718
45,7,vid3,718,15,733
46,7,vid4,733,16,749
47,7,vid5,749,7,756
48,8,vid1a,780,17,797
49,8,vid1b,797,6,803
50,8,vid2,803,11,814
51,8,vid3,814,15,829
52,8,vid4,830,16,846
53,8,vid5,846,7,853
54,9,vid1a,876,17,893
55,9,vid1b,893,6,899
56,9,vid2,899,11,910
57,9,vid3,911,15,926
58,9,vid4,926,16,942
59,9,vid5,942,7,949
60,10,vid1a,973,17,990
61,10,vid1b,990,6,996
62,10,vid2,996,11,1007
63,10,vid3,1007,15,1022
64,10,vid4,1022,16,1038
65,10,vid5,1038,7,1045
66,11,vid1a_q,1071,17,1088
67,11,vid1b_q,1088,6,1094
68,11,vid2_q,1094,11,1105
69,11,vid3_q,1108,15,1123
70,11,vid4_q,1126,16,1142
71,11,vid5_q,1142,7,1149
